az	bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
43	2001.04.03	2001.04.04	369	4	3	1487
44	2001.04.30	2001.05.02	431	5	2	1448
45	2001.05.23	2001.05.27	263	2	1	5161
46	2001.05.01	2001.05.02	385	1	2	4473
47	2001.03.15	2001.03.16	319	6	2	2542
48	2001.01.21	2001.01.25	74	3	1	1873
49	2001.06.02	2001.06.02	417	6	1	3674
50	2001.07.15	2001.07.17	330	6	2	3500
51	2001.07.22	2001.07.24	113	2	1	5388
52	2001.11.02	2001.11.06	382	3	2	3508
53	2002.01.22	2002.01.26	377	2	1	4769
54	2001.01.21	2001.01.24	328	5	2	4724
55	2001.05.28	2001.05.29	344	5	2	4981
56	2001.03.27	2001.03.28	159	4	3	608
57	2001.09.07	2001.09.10	94	3	3	550
58	2001.05.25	2001.05.27	457	6	3	3842
59	2001.05.05	2001.05.07	221	6	1	1306
60	2001.04.24	2001.04.25	207	1	1	4929
61	2001.02.21	2001.02.24	34	1	3	3978
62	2001.10.04	2001.10.06	172	3	1	1784
63	2001.01.04	2001.01.07	137	3	2	2420
64	2001.05.05	2001.05.09	130	4	2	4602
65	2001.07.24	2001.07.27	226	2	3	4234
66	2001.08.30	2001.09.02	471	3	2	3704
67	2002.01.09	2002.01.13	160	2	3	1117
68	2001.12.07	2001.12.09	410	1	3	1260
69	2001.10.15	2001.10.15	254	2	3	2689
70	2001.10.10	2001.10.11	137	4	3	3041
71	2001.09.25	2001.09.29	165	3	1	1367
72	2001.09.07	2001.09.08	476	6	1	3317
73	2001.11.20	2001.11.21	301	3	2	3160
74	2001.07.27	2001.07.28	244	5	1	1680
75	2001.07.05	2001.07.07	175	4	2	4404
76	2001.10.02	2001.10.06	24	5	3	4514
77	2002.01.15	2002.01.17	339	2	2	4126
78	2001.07.01	2001.07.02	482	3	2	1078
79	2001.09.21	2001.09.24	209	4	1	4795
80	2001.09.17	2001.09.18	182	1	1	1765
81	2001.02.05	2001.02.05	300	2	2	3257
82	2001.06.26	2001.06.28	431	1	2	3438
83	2001.05.23	2001.05.27	8	1	3	649
84	2001.12.08	2001.12.12	81	3	3	3832
85	2001.04.11	2001.04.11	387	6	2	2244
86	2001.10.08	2001.10.10	456	1	3	919
87	2001.08.15	2001.08.19	490	3	3	3274
88	2001.04.30	2001.05.02	325	3	1	4470
89	2001.09.18	2001.09.18	88	1	3	630
90	2001.08.23	2001.08.23	321	1	2	5420
91	2001.02.05	2001.02.08	367	2	3	1576
92	2001.03.01	2001.03.02	202	2	1	3926
93	2001.04.24	2001.04.28	431	6	2	2697
94	2001.12.09	2001.12.10	351	1	3	2028
95	2002.02.02	2002.02.06	44	6	1	4369
96	2001.12.25	2001.12.29	418	1	3	3009
97	2001.05.30	2001.06.01	123	2	2	3309
98	2001.10.12	2001.10.14	22	2	3	4393
99	2001.05.21	2001.05.21	318	6	3	2718
100	2001.05.31	2001.05.31	15	2	2	3094
101	2002.01.27	2002.01.31	45	2	1	4596
102	2001.08.10	2001.08.13	3	1	3	4644
103	2001.11.13	2001.11.17	368	2	3	4573
104	2001.06.12	2001.06.13	154	2	2	1506
105	2001.09.21	2001.09.23	428	1	3	3096
106	2001.10.21	2001.10.24	424	2	1	2876
107	2001.05.13	2001.05.15	91	5	2	549
108	2001.03.26	2001.03.30	364	5	3	790
109	2001.11.10	2001.11.11	450	5	1	3357
110	2002.01.09	2002.01.10	1	1	3	894
111	2001.07.31	2001.08.01	68	3	1	3108
112	2001.03.12	2001.03.13	164	2	3	4361
113	2001.11.21	2001.11.25	265	6	3	4613
114	2001.05.15	2001.05.17	246	4	3	4384
115	2001.01.04	2001.01.07	8	3	2	3778
116	2001.04.17	2001.04.19	404	3	3	2198
117	2001.09.26	2001.09.26	295	4	3	2959
118	2001.06.25	2001.06.26	255	3	2	881
119	2001.11.16	2001.11.17	347	2	1	3762
120	2001.12.27	2001.12.30	242	1	2	4832
121	2001.02.21	2001.02.23	204	1	1	560
122	2001.03.04	2001.03.06	390	5	3	1979
123	2002.01.15	2002.01.19	158	2	3	1231
124	2001.04.18	2001.04.22	381	1	1	2419
125	2001.03.26	2001.03.29	252	1	1	1948
126	2002.01.03	2002.01.07	83	6	2	1524
127	2001.05.29	2001.06.01	55	1	3	1770
128	2001.07.27	2001.07.27	32	2	1	1700
129	2001.10.01	2001.10.01	239	1	1	2721
130	2001.07.18	2001.07.22	450	3	3	4598
131	2001.07.02	2001.07.04	148	6	1	4003
132	2001.03.05	2001.03.06	412	1	1	1363
133	2001.12.24	2001.12.26	222	1	2	5086
134	2001.04.07	2001.04.07	333	4	2	999
135	2001.08.14	2001.08.18	344	1	3	1247
136	2001.01.10	2001.01.12	173	2	3	1777
137	2001.07.17	2001.07.18	272	3	2	1147
138	2001.11.23	2001.11.27	148	6	3	2131
139	2001.08.25	2001.08.26	467	1	2	4152
140	2001.12.04	2001.12.06	25	3	3	3322
141	2001.11.03	2001.11.05	414	5	3	3704
142	2001.11.16	2001.11.16	129	5	2	2193
143	2001.12.02	2001.12.03	171	2	3	3576
144	2001.01.31	2001.02.02	94	1	3	2442
145	2001.01.23	2001.01.24	64	2	1	4733
146	2001.09.06	2001.09.10	202	3	1	3230
147	2001.03.13	2001.03.16	269	2	3	2481
148	2001.02.16	2001.02.18	381	4	3	3213
149	2001.05.06	2001.05.10	108	3	3	2786
150	2001.10.24	2001.10.26	303	6	2	3552
151	2002.02.03	2002.02.03	15	5	1	1810
152	2001.05.24	2001.05.24	169	6	3	3419
153	2002.01.15	2002.01.16	205	2	2	1136
154	2001.05.12	2001.05.15	80	1	2	3598
155	2001.08.31	2001.09.01	159	4	2	5313
156	2002.01.04	2002.01.06	234	5	3	3608
157	2001.12.02	2001.12.06	260	2	3	4468
158	2001.07.26	2001.07.27	480	3	1	4824
159	2001.04.06	2001.04.09	17	3	1	4479
160	2001.10.27	2001.10.31	115	5	3	5003
161	2001.10.30	2001.11.01	132	3	1	4055
162	2002.01.13	2002.01.14	126	1	1	3812
163	2001.12.21	2001.12.23	453	5	1	4191
164	2001.07.28	2001.07.29	231	6	2	4054
165	2001.07.13	2001.07.14	178	2	2	3260
166	2001.05.12	2001.05.14	24	3	1	3068
167	2001.03.22	2001.03.23	151	2	1	1870
168	2001.07.03	2001.07.04	484	3	2	2948
169	2001.07.31	2001.08.01	255	5	3	4324
170	2001.07.12	2001.07.13	304	1	1	568
171	2001.11.07	2001.11.10	44	1	1	3346
172	2001.04.02	2001.04.06	364	2	1	2103
173	2001.01.13	2001.01.15	182	2	1	1785
174	2001.04.05	2001.04.09	322	3	2	1791
175	2001.05.19	2001.05.21	485	6	1	1344
176	2001.01.21	2001.01.24	192	4	3	3131
177	2001.07.14	2001.07.14	402	6	3	5246
178	2001.06.27	2001.06.28	302	1	1	2217
179	2001.02.18	2001.02.18	198	2	3	2632
180	2001.01.04	2001.01.06	175	3	2	3051
181	2001.04.20	2001.04.20	58	1	1	651
182	2001.01.24	2001.01.28	180	1	2	1780
183	2001.12.25	2001.12.27	87	1	2	1385
184	2001.02.04	2001.02.08	12	6	1	4365
185	2001.12.15	2001.12.19	88	5	3	2730
186	2001.10.13	2001.10.17	45	3	2	2460
187	2001.04.06	2001.04.07	396	4	1	520
188	2001.01.16	2001.01.20	397	4	1	5486
189	2001.04.12	2001.04.12	379	3	1	3787
190	2001.02.20	2001.02.21	298	4	2	719
191	2001.09.24	2001.09.25	406	6	3	513
192	2001.03.13	2001.03.14	241	3	2	2155
193	2001.05.06	2001.05.08	429	4	1	4810
194	2001.03.14	2001.03.18	350	2	3	5128
195	2001.10.10	2001.10.12	274	6	3	5456
196	2001.12.18	2001.12.22	83	3	2	4228
197	2001.04.09	2001.04.10	192	5	3	677
198	2001.09.13	2001.09.13	192	2	2	3793
199	2001.05.31	2001.06.01	48	5	1	3231
200	2001.09.18	2001.09.19	320	1	1	2666
201	2001.07.03	2001.07.04	461	3	3	4411
202	2001.07.04	2001.07.07	376	2	3	3992
203	2001.05.25	2001.05.29	239	6	1	613
204	2001.03.07	2001.03.09	8	4	2	4655
205	2001.07.02	2001.07.04	204	6	1	1427
206	2001.09.26	2001.09.30	19	2	2	4041
207	2001.03.24	2001.03.25	403	1	1	5383
208	2001.01.10	2001.01.14	87	6	2	2525
209	2001.08.30	2001.08.30	2	1	1	4777
210	2001.08.16	2001.08.16	162	5	1	1375
211	2001.01.21	2001.01.25	467	4	1	2116
212	2001.01.22	2001.01.23	146	1	3	5179
213	2001.11.25	2001.11.27	238	4	3	4606
214	2001.08.16	2001.08.19	412	2	2	1930
215	2001.10.04	2001.10.06	311	3	3	4294
216	2001.12.22	2001.12.23	142	6	1	4355
217	2001.11.12	2001.11.14	473	3	2	3092
218	2001.07.24	2001.07.24	252	5	3	4050
219	2001.08.26	2001.08.27	487	2	3	1797
220	2001.12.04	2001.12.06	185	1	3	823
221	2001.10.29	2001.11.01	171	1	3	1506
222	2001.02.15	2001.02.15	249	2	2	2551
223	2001.01.13	2001.01.13	354	3	3	2685
224	2001.09.03	2001.09.05	45	2	3	3261
225	2001.07.25	2001.07.26	373	3	3	2233
226	2001.07.22	2001.07.25	312	6	3	5468
227	2001.05.26	2001.05.26	192	5	1	2143
228	2001.11.04	2001.11.06	41	5	2	1008
229	2001.04.20	2001.04.21	317	6	1	3761
230	2001.11.20	2001.11.24	273	6	2	3467
231	2001.06.23	2001.06.23	70	2	2	2424
232	2001.12.04	2001.12.08	316	2	2	2849
233	2001.07.06	2001.07.08	115	3	2	4979
234	2001.06.09	2001.06.09	444	4	1	4764
235	2001.10.20	2001.10.23	110	6	3	2145
236	2001.05.11	2001.05.14	303	6	2	4203
237	2001.01.28	2001.01.28	200	3	3	1338
238	2001.08.22	2001.08.25	321	2	3	4845
239	2001.12.10	2001.12.14	77	3	2	1572
240	2001.04.23	2001.04.26	128	5	2	1456
241	2001.06.18	2001.06.18	114	6	3	3321
242	2001.04.25	2001.04.29	276	2	2	1625
243	2001.09.07	2001.09.08	33	6	1	3252
244	2001.01.09	2001.01.10	199	6	1	3316
245	2001.07.30	2001.07.30	224	5	2	5268
246	2001.01.04	2001.01.05	358	4	1	1184
247	2001.06.26	2001.06.29	111	5	1	3910
248	2001.08.05	2001.08.08	414	4	1	3027
249	2001.08.25	2001.08.26	340	5	3	914
250	2001.12.25	2001.12.29	207	1	1	2316
251	2001.09.07	2001.09.07	466	6	1	2611
252	2001.06.17	2001.06.18	459	1	2	868
253	2001.01.09	2001.01.13	371	3	1	2283
254	2001.03.19	2001.03.23	441	3	1	3495
255	2001.09.17	2001.09.19	178	1	2	3295
256	2001.04.25	2001.04.26	19	4	2	5402
257	2001.07.19	2001.07.19	421	5	2	3793
258	2001.05.23	2001.05.25	489	3	3	2948
259	2001.12.28	2001.12.28	215	2	1	1218
260	2001.08.09	2001.08.12	328	3	3	1758
261	2001.01.13	2001.01.16	53	2	1	679
262	2001.04.10	2001.04.10	264	6	3	4300
263	2002.01.19	2002.01.22	192	1	1	1925
264	2001.06.10	2001.06.12	135	4	3	777
265	2001.01.09	2001.01.09	26	3	2	905
266	2001.02.11	2001.02.14	286	4	3	4385
267	2001.08.30	2001.08.31	11	6	3	880
268	2001.03.16	2001.03.17	78	2	1	711
269	2001.08.21	2001.08.23	102	5	3	4462
270	2001.01.03	2001.01.03	93	4	2	2398
271	2001.02.13	2001.02.14	213	6	2	2933
272	2001.12.18	2001.12.19	195	5	2	5200
273	2001.11.02	2001.11.02	39	6	1	3988
274	2001.06.21	2001.06.22	277	1	3	3451
275	2001.11.07	2001.11.07	96	2	2	914
276	2001.04.27	2001.04.30	100	3	1	901
277	2001.02.01	2001.02.03	33	4	3	2320
278	2001.06.13	2001.06.15	149	2	2	2702
279	2001.11.11	2001.11.14	314	2	2	4451
280	2001.07.16	2001.07.20	287	2	1	1992
281	2001.08.05	2001.08.09	375	6	2	2085
282	2001.09.28	2001.09.28	390	1	1	4923
283	2001.10.20	2001.10.24	452	2	1	1121
284	2001.03.20	2001.03.23	152	4	2	1788
285	2001.01.06	2001.01.10	365	1	2	1198
286	2001.04.15	2001.04.16	199	2	1	1256
287	2001.07.20	2001.07.24	228	5	3	533
288	2001.06.28	2001.07.02	68	1	2	2083
289	2001.10.31	2001.11.04	104	1	3	2348
290	2001.02.17	2001.02.20	251	1	2	811
291	2001.06.08	2001.06.12	236	3	2	1760
292	2001.05.23	2001.05.25	202	3	2	3989
293	2002.01.07	2002.01.10	131	2	1	1576
294	2002.01.31	2002.02.02	259	2	3	2188
295	2001.03.31	2001.04.04	264	1	3	2005
296	2001.02.17	2001.02.17	265	2	2	2006
297	2001.12.18	2001.12.20	290	6	2	4905
298	2001.08.04	2001.08.05	189	4	1	5413
299	2001.01.23	2001.01.23	176	1	1	4501
300	2001.05.17	2001.05.17	127	2	1	3906
301	2001.05.16	2001.05.20	24	6	2	3050
302	2001.12.27	2001.12.29	140	6	3	1343
303	2002.01.20	2002.01.21	264	1	2	3461
304	2001.03.20	2001.03.20	439	6	2	956
305	2001.05.16	2001.05.18	304	5	2	4969
306	2001.02.11	2001.02.13	483	5	3	4626
307	2001.05.26	2001.05.29	178	4	2	2939
308	2001.09.29	2001.10.02	136	1	1	2606
309	2001.12.04	2001.12.05	286	1	1	2789
310	2001.09.08	2001.09.10	493	1	1	3973
311	2001.05.02	2001.05.05	194	6	2	1012
312	2001.12.19	2001.12.23	181	5	1	529
313	2001.06.16	2001.06.17	100	6	2	4048
314	2001.08.23	2001.08.24	420	4	2	3516
315	2001.10.24	2001.10.25	110	2	1	2476
316	2001.08.02	2001.08.06	273	6	3	5077
317	2002.01.22	2002.01.25	484	4	2	3889
318	2002.01.12	2002.01.13	399	1	2	3542
319	2001.02.28	2001.03.04	479	3	3	2014
320	2001.10.07	2001.10.11	195	3	3	3057
321	2001.03.09	2001.03.13	245	6	1	5431
322	2001.01.20	2001.01.22	30	3	2	726
323	2001.12.12	2001.12.16	110	5	1	4446
324	2001.08.13	2001.08.16	443	6	3	1468
325	2001.08.18	2001.08.21	77	6	3	4825
326	2001.08.10	2001.08.11	327	3	3	2240
327	2001.05.31	2001.06.04	110	4	1	1060
328	2001.02.12	2001.02.12	366	6	3	770
329	2001.03.18	2001.03.18	9	6	1	2634
330	2001.02.27	2001.03.02	24	6	1	3786
331	2002.02.03	2002.02.05	240	3	1	3628
332	2001.12.06	2001.12.07	281	6	3	858
333	2002.02.06	2002.02.06	103	2	3	2930
334	2001.05.03	2001.05.06	288	5	2	547
335	2001.02.13	2001.02.13	82	2	2	4060
336	2001.02.10	2001.02.11	91	3	1	4562
337	2001.02.28	2001.03.03	489	5	3	682
338	2001.01.08	2001.01.09	365	4	3	1408
339	2001.08.26	2001.08.28	191	4	1	3028
340	2001.12.20	2001.12.24	143	6	1	3247
341	2001.09.25	2001.09.25	461	5	3	2491
342	2001.05.17	2001.05.19	402	4	3	2582
343	2002.01.11	2002.01.15	289	2	3	4313
344	2001.04.23	2001.04.25	410	1	2	1996
345	2001.01.13	2001.01.17	4	6	1	5086
346	2001.04.09	2001.04.11	304	1	1	1361
347	2001.05.03	2001.05.05	233	2	1	2169
348	2001.03.09	2001.03.10	318	6	2	4092
349	2001.04.22	2001.04.23	402	3	3	2577
350	2001.10.17	2001.10.18	129	2	2	4858
351	2001.01.08	2001.01.10	67	6	2	4991
352	2001.11.20	2001.11.21	138	5	3	5288
353	2002.01.05	2002.01.09	201	6	1	1517
354	2002.01.28	2002.02.01	344	2	3	2110
355	2001.08.16	2001.08.17	316	6	3	1981
356	2001.08.18	2001.08.18	420	3	2	4236
357	2001.09.24	2001.09.27	219	2	1	1376
358	2002.01.12	2002.01.14	67	6	1	2314
359	2001.08.25	2001.08.25	82	2	2	2124
360	2002.01.27	2002.01.31	398	3	3	3122
361	2001.04.08	2001.04.12	29	5	2	2759
362	2001.12.30	2001.12.31	203	5	1	2680
363	2001.08.14	2001.08.18	84	1	3	1388
364	2001.06.24	2001.06.24	127	3	3	3946
365	2001.06.24	2001.06.28	212	6	1	5091
366	2001.12.06	2001.12.10	306	5	3	2203
367	2001.01.22	2001.01.26	177	1	3	4625
368	2001.08.23	2001.08.26	282	5	3	1735
369	2001.11.10	2001.11.10	416	6	2	5409
370	2001.05.01	2001.05.02	487	3	1	4450
371	2001.03.26	2001.03.28	216	2	1	1823
372	2002.02.06	2002.02.07	200	3	3	4454
373	2001.07.19	2001.07.21	196	5	1	3274
374	2001.10.30	2001.11.03	152	1	3	2643
375	2001.02.26	2001.02.26	402	1	3	4152
376	2001.02.06	2001.02.08	430	2	3	3584
377	2001.06.23	2001.06.25	3	5	2	3251
378	2001.10.11	2001.10.11	387	4	1	1486
379	2002.01.13	2002.01.14	281	1	1	914
380	2001.04.24	2001.04.25	208	5	3	4716
381	2002.01.23	2002.01.23	194	6	2	2990
382	2001.02.20	2001.02.21	470	1	3	1118
383	2001.10.04	2001.10.06	205	4	1	1092
384	2001.07.22	2001.07.23	123	4	2	1574
385	2001.05.19	2001.05.20	317	4	2	2316
386	2002.01.25	2002.01.29	65	3	1	1760
387	2002.01.26	2002.01.30	45	4	2	1370
388	2002.02.01	2002.02.04	68	1	3	2015
389	2001.09.23	2001.09.24	469	3	3	3148
390	2002.01.10	2002.01.11	2	3	3	1259
391	2001.11.12	2001.11.14	325	4	2	4568
392	2001.04.18	2001.04.21	416	5	3	1594
393	2001.02.23	2001.02.26	66	1	2	4292
394	2001.09.25	2001.09.25	271	5	1	3743
395	2001.06.07	2001.06.10	361	5	1	2858
396	2001.03.10	2001.03.11	458	6	2	622
397	2001.06.07	2001.06.09	134	4	1	2617
398	2001.12.21	2001.12.24	283	4	1	1267
399	2001.02.27	2001.03.01	104	1	2	655
400	2001.02.18	2001.02.20	82	3	1	4966
401	2001.05.03	2001.05.03	366	1	2	4868
402	2001.10.03	2001.10.04	122	2	2	5426
403	2001.03.25	2001.03.29	270	3	3	2818
404	2001.08.26	2001.08.26	409	5	3	1844
405	2001.05.30	2001.06.02	224	1	1	2328
406	2001.07.10	2001.07.11	316	6	3	3880
407	2001.10.18	2001.10.20	36	6	3	4936
408	2001.07.17	2001.07.17	82	6	2	988
409	2001.05.23	2001.05.27	332	5	1	2782
410	2001.03.28	2001.03.31	159	5	1	3229
411	2001.01.29	2001.01.30	42	2	3	3125
412	2001.07.30	2001.07.30	429	3	2	1032
413	2001.11.10	2001.11.10	67	5	1	5213
414	2001.09.05	2001.09.07	436	5	3	1535
415	2001.01.30	2001.02.02	215	1	3	1925
416	2001.12.30	2002.01.01	66	3	3	4253
417	2001.03.26	2001.03.26	192	3	1	2175
418	2001.03.16	2001.03.16	388	6	1	2069
419	2001.04.15	2001.04.16	345	4	1	3344
420	2001.07.08	2001.07.11	174	1	1	5012
421	2001.09.12	2001.09.12	486	3	3	4687
422	2001.05.31	2001.06.02	486	3	3	541
423	2001.08.14	2001.08.18	258	4	3	1322
424	2001.08.22	2001.08.25	269	1	3	4603
425	2001.03.26	2001.03.30	369	6	2	3961
426	2001.07.03	2001.07.05	489	5	1	4360
427	2001.05.04	2001.05.04	145	4	3	5379
428	2001.09.03	2001.09.05	63	1	3	2370
429	2001.08.17	2001.08.17	398	1	2	4811
430	2001.05.28	2001.05.29	360	2	3	2023
431	2001.02.15	2001.02.17	195	3	1	3279
432	2002.01.09	2002.01.09	317	2	1	4381
433	2001.10.12	2001.10.16	192	3	3	3691
434	2001.10.24	2001.10.26	290	1	1	4149
435	2001.07.09	2001.07.10	163	2	2	4710
436	2002.01.18	2002.01.19	154	4	3	2686
437	2002.01.17	2002.01.17	355	6	2	2494
438	2001.07.17	2001.07.19	244	6	1	4557
439	2001.11.06	2001.11.08	389	1	1	861
440	2001.10.01	2001.10.04	324	3	3	1423
441	2001.06.16	2001.06.16	200	2	3	3532
442	2002.01.18	2002.01.18	401	2	3	4900
443	2002.01.07	2002.01.09	182	4	2	3359
444	2002.01.29	2002.01.29	182	4	3	2246
445	2001.01.07	2001.01.07	57	2	2	2612
446	2001.05.25	2001.05.27	176	6	3	2506
447	2001.05.10	2001.05.14	320	5	3	1903
448	2001.08.29	2001.08.30	226	3	1	1749
449	2002.01.06	2002.01.07	236	4	2	3312
450	2001.04.05	2001.04.07	487	3	1	1005
451	2001.10.15	2001.10.17	209	3	1	3345
452	2001.01.27	2001.01.30	194	2	2	5203
453	2002.01.17	2002.01.17	294	6	3	5259
454	2001.03.12	2001.03.13	447	2	1	3035
455	2002.01.17	2002.01.17	320	6	2	4351
456	2001.02.18	2001.02.18	42	1	1	3695
457	2001.08.04	2001.08.04	468	4	2	2766
458	2001.05.06	2001.05.08	118	1	2	5491
459	2001.11.20	2001.11.23	399	3	1	992
460	2002.01.08	2002.01.09	94	2	3	5179
461	2001.09.04	2001.09.06	318	6	2	5121
462	2001.11.17	2001.11.18	151	5	3	5228
463	2001.12.26	2001.12.29	458	1	2	764
464	2001.10.03	2001.10.04	197	4	1	3662
465	2002.02.04	2002.02.07	61	1	2	4541
466	2001.01.16	2001.01.19	298	6	1	955
467	2002.01.24	2002.01.26	301	5	3	3360
468	2001.06.23	2001.06.23	307	2	1	509
469	2001.12.07	2001.12.07	315	2	2	2619
470	2001.10.03	2001.10.04	273	5	1	4298
471	2001.05.08	2001.05.12	427	3	3	1080
472	2001.09.12	2001.09.14	3	1	3	1083
473	2001.02.13	2001.02.16	109	2	1	2766
474	2001.06.16	2001.06.16	188	4	2	2424
475	2001.04.20	2001.04.20	377	2	1	2714
476	2001.12.17	2001.12.20	396	3	1	4043
477	2001.06.20	2001.06.23	19	1	2	3925
478	2001.07.24	2001.07.24	425	4	1	2238
479	2001.05.02	2001.05.04	378	4	2	2073
480	2001.05.06	2001.05.08	357	6	1	2217
481	2001.02.15	2001.02.16	443	3	1	660
482	2001.10.25	2001.10.26	287	2	2	4051
483	2001.11.28	2001.12.02	428	3	3	1243
484	2001.10.05	2001.10.05	439	1	3	3557
485	2002.01.14	2002.01.14	344	1	1	2050
486	2001.01.17	2001.01.17	108	4	3	2252
487	2002.01.05	2002.01.06	202	2	2	3514
488	2001.07.15	2001.07.19	396	3	2	4670
489	2001.10.23	2001.10.27	145	2	2	3970
490	2001.11.29	2001.12.03	405	2	3	1338
491	2001.11.23	2001.11.25	330	3	3	891
492	2001.05.16	2001.05.17	29	4	1	1808
493	2001.03.02	2001.03.06	13	6	1	1346
494	2001.07.05	2001.07.06	451	4	2	4484
495	2001.05.22	2001.05.24	281	2	3	2635
496	2001.11.24	2001.11.27	38	2	3	4076
497	2001.01.20	2001.01.21	52	3	2	4662
498	2001.10.24	2001.10.28	227	6	1	4966
499	2001.12.06	2001.12.10	101	4	2	2537
500	2001.05.13	2001.05.13	34	2	3	4074
501	2002.01.15	2002.01.17	300	3	2	540
502	2002.01.28	2002.01.28	341	2	3	2576
503	2001.12.13	2001.12.16	107	4	3	2055
504	2001.10.04	2001.10.07	21	2	2	3172
505	2001.07.01	2001.07.03	319	4	2	1043
506	2001.11.16	2001.11.16	427	4	2	4760
507	2001.07.02	2001.07.03	235	6	3	5404
508	2001.07.27	2001.07.29	9	2	3	638
509	2001.12.23	2001.12.24	404	6	3	5353
510	2001.08.22	2001.08.25	204	3	2	784
511	2001.01.21	2001.01.22	315	5	2	4852
512	2001.02.15	2001.02.17	441	3	2	5250
513	2001.03.01	2001.03.05	232	3	3	3745
514	2001.02.01	2001.02.02	416	5	1	3656
515	2001.07.02	2001.07.05	1	3	3	2650
516	2002.02.06	2002.02.10	240	6	2	4377
517	2001.10.27	2001.10.30	272	4	1	4681
518	2001.09.03	2001.09.04	116	2	1	1751
519	2002.01.10	2002.01.10	362	3	1	2913
520	2001.05.07	2001.05.09	3	5	1	2351
521	2001.08.05	2001.08.09	163	2	2	706
522	2002.01.24	2002.01.25	272	5	1	1330
523	2002.01.18	2002.01.20	164	5	1	4946
524	2001.12.27	2001.12.29	328	5	1	3063
525	2001.12.02	2001.12.05	226	6	3	798
526	2001.12.06	2001.12.10	146	5	2	3518
527	2001.06.20	2001.06.24	245	3	3	3184
528	2001.05.23	2001.05.23	320	5	2	2411
529	2001.03.02	2001.03.04	356	6	3	2910
530	2001.05.01	2001.05.01	194	3	1	4005
531	2002.01.17	2002.01.21	195	4	3	4517
532	2001.06.19	2001.06.19	484	5	3	3431
533	2001.02.11	2001.02.11	437	6	3	3073
534	2001.07.14	2001.07.18	341	4	2	2381
535	2001.08.04	2001.08.07	403	5	2	4125
536	2001.10.11	2001.10.13	463	6	2	2693
537	2001.12.25	2001.12.27	10	3	3	2789
538	2001.09.10	2001.09.12	492	4	3	4604
539	2001.11.19	2001.11.23	478	6	3	2388
540	2001.03.26	2001.03.26	296	6	1	5152
541	2001.05.21	2001.05.23	168	6	2	3409
542	2001.03.15	2001.03.19	147	6	3	5026
543	2001.09.20	2001.09.21	316	5	1	1730
544	2001.09.27	2001.09.30	65	4	1	4153
545	2001.04.03	2001.04.03	213	4	2	5059
546	2001.09.20	2001.09.20	468	5	1	1080
547	2001.02.14	2001.02.16	26	4	3	5335
548	2001.12.11	2001.12.12	86	4	3	1609
549	2001.07.13	2001.07.16	34	6	2	4581
550	2001.03.31	2001.03.31	113	2	3	4403
551	2001.01.24	2001.01.28	59	5	1	5016
552	2001.01.05	2001.01.08	179	5	1	2898
553	2001.09.25	2001.09.29	119	1	2	1427
554	2001.06.25	2001.06.27	18	5	3	1734
555	2001.04.02	2001.04.02	358	3	3	930
556	2001.11.29	2001.12.03	21	5	3	4418
557	2001.07.16	2001.07.18	38	2	2	4118
558	2001.06.15	2001.06.18	198	4	3	4665
559	2001.03.21	2001.03.21	446	5	1	3451
